 Department of Commerce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export Import Data Bank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export :: Country-wise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 S.No. , Country ,2008-2009, %Share ,2009-2010, %Share , 2010-2011 , %Share , 2011-2012 , %Share , 2012-2013 , %Share , 2013-2014 , %Share , 2014-2015 , %Share , 2015-2016 , %Share , 2016-2017 , %Share , 2017-2018 , %Share , 2018-2019 , %Share , 2019-2020 , %Share , 2020-2021 , %Share , 2021-2022 , %Share , 2022-2023 , %Share , 2023-2024 , %Share , 2024-2025 , %Share 
 41 , CAYMAN IS ,265.85, 0 ,376.82, 0 , 130 , 0 , 449 , 0 , 210 , 0 ," 1,937 ", 0 ," 4,030 ", 0 ," 2,337 ", 0 ," 25,804 ", 0 ," 17,598 ", 0 ," 26,314 ", 0 ," 41,728 ", 0 ," 43,786 ", 0 ," 39,456 ", 0 ," 4,566 ", 0 ," 5,900 ", 0 ," 14,916 ", 0 
 42 , CHAD ,7188.97, 0 ,3269.72, 0 ," 5,441 ", 0 ," 18,848 ", 0 ," 25,203 ", 0 ," 20,156 ", 0 ," 24,931 ", 0 ," 28,350 ", 0 ," 452,188 ", 0 ," 492,191 ", 0 ," 691,209 ", 0 ," 561,174 ", 0 ," 595,017 ", 0 ," 880,788 ", 0 ," 46,303 ", 0 ," 66,195 ", 0 ," 136,398 ", 0 
 43 , CHANNEL IS ,22.18, -   ,,," 231,337 ", 0 , 9 , -   , 32 , -   , 10 , -   , 0 , -   ,,," 6,825,092 ", 4 ," 8,599,430 ", 4 ," 11,728,911 ", 5 ," 11,767,331 ", 5 ," 15,720,159 ", 7 ," 15,821,548 ", 5 ," 936,922 ", 0 ," 979,460 ", 0 ," 2,135,706 ", 3 
 44 , CHILE ,177677.13, 0 ,131888.43, 0 ," 6,431,514 ", 6 ," 251,439 ", 0 ," 375,900 ", 0 ," 402,825 ", 0 ," 346,116 ", 0 ," 445,108 ", 0 , 13 , -   ,,,,, 3 , -   ,,, 5 , -   ," 12,277,399 ", 3 ," 13,796,645 ", 4 ,,
 45 , CHINA P RP ,4266133.36, 5 ,5471392.87, 6 , 534 , 0 ," 8,747,082 ", 6 ," 7,352,956 ", 4 ," 9,056,109 ", 5 ," 7,303,043 ", 4 ," 5,893,941 ", 3 ," 525,985 ", 0 ," 605,415 ", 0 ," 781,088 ", 0 ," 739,769 ", 0 , 0 , -   ,,,,, 3 , -   ,,
 46 , CHRISTMAS IS. ,96.56, 0 ,741.68, 0 , 422 , 0 , 9 , -   , 15 , -   , 4 , -   , 6 , -   ,,," 13,911 ", 0 ," 19,157 ", 0 ," 13,452 ", 0 ," 13,384 ", 0 ," 638,460 ", 0 ," 1,026,658 ", 0 , 10 , -   , 11 , -   ," 188,796 ", 0 
 47 , COCOS IS ,0.72, -   ,2.97, -   ," 255,502 ", 0 , 389 , 0 , 27 , -   , 3 , -   ," 676,248 ", 0 ," 579,540 ", 0 ," 133,524 ", 0 ," 145,082 ", 0 ," 212,269 ", 0 ," 250,052 ", 0 ," 13,491 ", 0 ," 17,207 ", 0 ," 1,158,747 ", 0 ," 1,009,130 ", 0 ," 3,223 ", 0 
 48 , COLOMBIA ,168762.56, 0 ,184004.33, 0 ," 3,922 ", 0 ," 429,357 ", 0 ," 496,578 ", 0 ," 611,532 ", 0 ," 10,845 ", 0 ," 11,167 ", 0 ," 90,969 ", 0 ," 75,222 ", 0 ," 93,316 ", 0 ," 80,060 ", 0 ," 317,983 ", 0 ," 423,430 ", 0 ," 32,289 ", 0 ," 23,162 ", 0 ," 74,850 ", 0 
 49 , COMOROS ,11732.01, 0 ,4396.85, 0 ," 3,058 ", 0 ," 5,278 ", 0 ," 11,256 ", 0 ," 8,242 ", 0 ," 155,943 ", 0 ," 208,516 ", 0 , 100 , 0 , 115 , 0 , 188 , 0 , 222 , 0 ," 81,208 ", 0 ," 120,170 ", 0 ," 506,600 ", 0 ," 480,453 ", 0 ," 16,892 ", 0 
 50 , CONGO D. REP. ,7048.26, 0 ,4719.24, 0 ," 110,032 ", 0 ," 3,501 ", 0 ," 80,409 ", 0 ," 109,910 ", 0 ," 155,250 ", 0 ," 108,921 ", 0 ," 106,857 ", 0 ," 86,051 ", 0 ," 95,310 ", 0 ," 89,797 ", 0 , 53 , -   , 30 , -   ," 143,741 ", 0 ," 145,815 ", 0 , 38 , 0 
 51 , CONGO P REP ,96329.64, 0 ,93001.51, 0 , 19 , -   ," 163,664 ", 0 ," 108,264 ", 0 ," 127,546 ", 0 , 196 , 0 , 33 , -   ," 281,167 ", 0 ," 329,774 ", 0 ," 314,652 ", 0 ," 294,060 ", 0 ," 84,385 ", 0 ," 109,968 ", 0 , 110 , -   , 190 , 0 ," 29,147 ", 0 
 52 , COOK IS ,60.00, 0 ,13.80, -   ," 27,947 ", 0 , 56 , -   , 25 , -   , 56 , -   ," 58,645 ", 0 ," 88,390 ", 0 ," 83,111 ", 0 ," 108,704 ", 0 ," 107,435 ", 0 ," 104,320 ", 0 ," 433,113 ", 0 ," 542,891 ", 0 ," 154,745 ", 0 ," 152,145 ", 0 ," 136,150 ", 0 
 53 , COSTA RICA ,15711.43, 0 ,15291.43, 0 ," 42,902 ", 0 ," 31,619 ", 0 ," 40,521 ", 0 ," 49,246 ", 0 ," 189,742 ", 0 ," 260,227 ", 0 ," 27,961 ", 0 ," 26,951 ", 0 ," 24,432 ", 0 ," 33,653 ", 0 ," 104,975 ", 0 ," 370,028 ", 0 ," 715,414 ", 0 ," 567,330 ", 0 ," 33,490 ", 0 
 54 , COTE D' IVOIRE ,43288.06, 0 ,57793.45, 0 ," 44,468 ", 0 ," 139,751 ", 0 ," 215,416 ", 0 ," 181,441 ", 0 ," 108,319 ", 0 ," 73,670 ", 0 ,,, 0 , -   ," 49,466 ", 0 ," 308,907 ", 0 ," 15,095 ", 0 ," 19,720 ", 0 ," 268,759 ", 0 ," 193,148 ", 0 ," 1,325 ", 0 
