Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 COOK IS ,60.0,13.8,27947.0,56.0,25.0,56.0,58645.0,88390.0,83111.0,108704.0,107435.0,104320.0,433113.0,542891.0,154745.0,152145.0,136150.0
 COSTA RICA ,15711.43,15291.43,42902.0,31619.0,40521.0,49246.0,189742.0,260227.0,27961.0,26951.0,24432.0,33653.0,104975.0,370028.0,715414.0,567330.0,33490.0
 COTE D' IVOIRE ,43288.06,57793.45,44468.0,139751.0,215416.0,181441.0,108319.0,73670.0,36835.0,0.0,49466.0,308907.0,15095.0,19720.0,268759.0,193148.0,1325.0
 CROATIA ,39161.66,42375.39,11627.0,54953.0,72678.0,84231.0,22828.0,35325.0,48036.0,64629.0,300326.0,351948.0,66830.0,104771.0,64742.0,33289.0,12125.0
 CUBA ,17075.91,10781.08,19731.0,17407.0,19453.0,21484.0,10744.5,5.0,357749.0,261295.0,522611.0,519857.0,359359.0,468796.0,65837.0,78585.0,245092.0
 CYPRUS ,114200.89,22192.93,98191.0,27275.0,29991.0,37524.0,31254.0,39062.0,464710.0,505271.0,554924.0,223390.0,558182.0,704095.0,943900.0,1151137.0,122293.0
 CZECH REPUBLIC ,83299.38,84139.4,314242.0,130659.0,136792.0,237060.0,230807.0,318183.0,187976.0,242220.0,150734.0,151037.0,257018.0,531949.0,730921.0,708925.0,173315.0
 DENMARK ,267651.55,274977.44,145274.0,361644.0,384978.0,461024.0,442504.0,451489.0,150917.0,126869.0,902.0,1530.0,154575.0,231129.0,964246.0,947593.0,53635.0
 DJIBOUTI ,160806.39,125780.53,37698.0,229462.0,223755.0,184398.0,145294.0,133358.0,1646.0,1360.0,207885.0,179121.0,1375.0,2088.0,264187.0,287232.0,464.0
 DOMINIC REP ,23514.0,26050.62,1126.0,49070.0,59349.0,76465.0,86326.0,114870.0,132648.0,180423.0,2015277.0,1772410.0,153648.0,227381.0,2318.0,2092.0,30592.0
 DOMINICA ,1197.18,1410.01,55276.0,1359.0,1311.0,1477.0,1552.0,954.0,1385513.0,1542054.0,54874.0,56255.0,1676019.0,2792214.0,321624.0,380382.0,487461.0
 ECUADOR ,58350.32,42398.2,902643.0,112362.0,143393.0,176068.0,137505.0,100006.0,40506.0,44780.0,8392.0,7771.0,62114.0,120684.0,3312344.0,2915688.0,19817.0
 EGYPT A RP ,759464.44,663818.34,10945.0,1173550.0,1571394.0,1556074.0,1844254.0,1527181.0,7534.0,6949.0,6199.0,4201.0,10506.0,9267.0,101786.0,106731.0,1875.0
 EL SALVADOR ,7676.42,6313.04,5189.0,18107.0,30487.0,39413.0,37583.0,44821.0,2155.0,4791.0,44955.0,46298.0,7003.0,13120.0,18556.0,22191.0,1353.0
 EQUTL GUINEA ,2969.06,3616.87,11206.0,8186.0,11594.0,10477.0,9165.0,11590.0,65412.0,51771.0,536426.0,565451.0,38439.0,46301.0,14607.0,8324.0,14780.0
 ERITREA ,7354.63,13599.65,24136.0,15376.0,10380.0,10045.0,8590.0,4220.0,518647.0,440940.0,1.0,56.0,506976.0,507683.0,56760.0,64038.0,68635.0
 ESTONIA ,22455.87,13642.83,124545.0,56218.0,49983.0,47864.0,41720.0,41691.0,392.0,193.0,2100.0,637.0,319.0,1.0,469824.0,405194.0,0.0
 ETHIOPIA ,114291.89,120614.28,18.0,224165.0,408163.0,495038.0,479184.0,519816.0,35177.0,34975.0,42448.0,39403.0,200.0,200.0,1.0,67.5,134.0
 FALKLAND IS ,42.67,17.55,344.0,690.0,1.0,1.3333333333333333,1.6666666666666665,2.0,180917.0,182126.0,179003.0,190271.0,34683.0,43254.0,289.0,4917.0,12083.0
 FAROE IS. ,27.29,68.13,12983.0,418.0,799.0,1854.0,1576.0,1146.0,987.0,1408.0,1324.0,691.0,210474.0,256689.0,64389.0,63154.0,78371.0
 FIJI IS ,39679.98,12645.99,116003.0,17505.0,22343.0,29511.0,30336.0,28799.0,2777.0,4098.0,3813.0,4274.0,1312.0,1549.0,427960.0,482563.0,299.0
 FINLAND ,120559.43,98365.49,1635.0,151226.0,172483.0,252903.0,201777.0,162885.0,3517870.0,3158610.0,3657423.0,3611160.0,4177.0,6878.0,1208.0,1218.0,1397.0
 FR GUIANA ,17546.61,1088.04,491.0,761.0,1814.0,21948.0,36415.0,765.0,29043.0,29072.0,38645.0,32206.0,3532922.0,4960510.0,8154.0,9931.0,1411936.0
 FR POLYNESIA ,587.01,381.39,1.0,5697.0,964.0,1704.0,1884.0,2505.0,41773.0,77522.0,109723.0,93701.0,43438.0,39504.0,6104859.0,5912570.0,10610.0
 FR S ANT TR ,0.78,0.36,2368748.0,9.0,3.0,15.0,27.0,39.0,60884.0,49774.0,77356.0,58758.0,95730.0,114077.0,64737.0,60126.0,17034.0
 FRANCE ,1377671.15,1799941.28,17069.0,2202080.0,2710586.0,3095127.0,3032342.0,3032612.0,4815370.0,5599363.0,6220063.0,5872262.0,73551.0,122137.0,98596.0,145449.0,29443.0
 GABON ,9922.0,11760.52,18947.0,22705.0,29505.0,32120.0,26027.0,24166.0,456586.0,409802.0,500679.0,437452.0,6011271.0,7371638.0,213195.0,163377.0,1368545.0
 GAMBIA ,14067.84,17487.86,33182.0,30928.0,30206.0,51573.0,44902.0,39134.0,863155.0,187844.0,401793.0,444137.0,637869.0,826936.0,8139691.0,8145947.0,159632.0
 GEORGIA ,33414.71,26265.96,3071854.0,59041.0,67455.0,55469.0,53005.0,54218.0,255016.0,279522.0,350287.0,316194.0,153581.0,368347.0,771844.0,910344.0,87.0
