Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 MONGOLIA ,7059.86,3714.76,238.0,16988.0,13005.0,9046.0,533.0,683.0,6552.0,13206.0,27060.0,14171.0,49.0,62.0,22906.0,28905.0,17.0
 MONTSERRAT ,93.28,60.7,144923.0,126.0,9245.5,18365.0,4831.0,5487.0,24356.0,33250.0,42.0,42.0,375137.0,719770.0,119.0,101.0,115109.0
 MOROCCO ,110544.19,118656.44,275884.0,178912.0,21.0,43.0,25809.0,17211.0,413.0,15.0,475220.0,566207.0,911437.0,1473226.0,842705.0,855028.0,196352.0
 MOZAMBIQUE ,191948.96,169504.92,145903.0,254681.0,232116.0,232979.0,209.0,633.0,250709.0,278913.0,753810.0,1541061.0,573220.0,666478.0,2012368.0,1650460.0,77574.0
 MYANMAR ,101776.52,98472.88,63.0,264451.0,544520.0,767916.0,199261.0,224582.0,677815.0,580575.0,845854.0,691048.0,214.0,280.0,650323.0,554901.0,2.0
 N. MARIANA IS. ,205.42,212.81,25229.0,12.0,296071.0,480568.0,1265172.0,808711.0,743507.0,622706.0,190.0,105.0,37763.0,154814.0,142.0,254.0,7847.0
 NAMIBIA ,41920.85,30049.51,50.0,30757.0,2.0,36.0,473624.0,708235.0,9.0,26.0,57848.0,47070.0,71.0,231.0,191259.0,376022.0,0.0
 NAURU RP ,52.67,38.5,987081.0,103.0,30856.0,132950.0,52.0,356.0,60277.0,28293.0,361.0,99.0,5046549.0,7193922.0,246.0,70.0,1020198.0
 NEPAL ,715577.12,725131.51,3494970.0,1313024.0,1.0,108.0,66259.0,48401.0,1665.0,878.0,5430054.0,5071276.0,4785837.0,9372473.0,6477320.0,5827488.0,4394521.0
 NETHERLAND ,2888996.2,3030093.8,23952.0,4390732.0,1680556.0,2177023.0,12.0,4.0,3657979.0,4262368.0,6156453.0,5919052.0,14233.0,22136.0,17440918.0,18526011.0,1698.0
 NETHERLANDANTIL ,8633.71,13947.06,7615.0,18498.0,5737256.0,4874447.0,2785910.0,2555151.0,3401704.0,4034397.0,21386.0,21240.0,8514.0,14072.0,24921.0,17735.0,1179.0
 NEUTRAL ZONE ,4.39,43394.695,86785.0,79.0,32736.0,41618.0,3864647.0,3094180.0,25539.0,24848.0,6162.0,10798.0,359877.0,363374.0,14801.0,12756.0,70157.0
 NEW CALEDONIA ,2055.12,1667.5,13634.0,28910.0,6858.0,5331.0,25013.0,24259.0,5436.0,6604.0,266097.0,268227.0,66322.0,80066.0,438264.0,445652.0,20109.0
 NEW ZEALAND ,85696.81,121286.29,21432.0,120885.0,164682.0,167955.0,6591.0,3063.0,207704.0,227455.0,37378.0,46445.0,64261.0,68263.0,87098.0,109573.0,13290.0
 NICARAGUA ,9447.83,10956.72,954166.0,21901.0,32284.0,36101.0,196895.0,201460.0,57825.0,56278.0,66471.0,51923.0,2315238.0,3474513.0,67550.0,38992.0,358170.0
 NIGER ,11834.18,17910.11,4.0,41507.0,30529.0,52531.0,40082.0,54117.0,54494.0,77453.0,2103991.0,2560096.0,3.0,2068701.5,4137400.0,3030467.0,135.0
 NIGERIA ,706530.56,668124.0,350.0,1305141.0,1491669.0,1618074.0,47830.0,52815.0,1182597.0,1453526.0,726792.0,58.0,159.0,133.0,0.0,39986.0,79972.0
 NIUE IS ,3.66,2.42,81593.0,2.0,20.0,9.0,1637591.0,1452343.0,190.0,248.0,132.0,235.0,238590.0,283016.0,16.0,15.0,532202.0
 NORFOLK IS ,181.99,54.74,492301.0,110.0,267.0,852.0,439.0,26.0,164248.0,232316.0,218668.0,297398.0,1743615.0,2357250.0,456533.0,333573.0,72125.0
 NORWAY ,172119.42,108873.43,25.0,156631.0,127700.0,138923.0,35.0,222.0,1826217.0,1571938.0,1566934.0,1608081.0,241471.0,383119.0,3589458.0,3666504.0,37.0
 OMAN ,354968.47,490230.12,925477.0,641449.0,1411464.0,1715605.0,160631.0,349279.0,1222235.0,1239711.0,1442651.0,571773.0,156.0,79.0,225.0,15464.0,30703.0
 PACIFIC IS ,0.01,19.72,18.0,15861.0,3.0,11.0,1454776.0,1440906.0,25.0,42.0,62.0,38.0,112239.0,258960.0,501974.0,986318.0,11002.0
 PAKISTAN IR ,653206.8,746102.5,202.0,744827.0,1123263.0,1383234.0,1135211.0,1428653.0,7.0,6.0,5.0,4.0,41624.0,52119.0,181.0,121.0,30363.0
 PALAU ,99.66,6.87,56515.0,114.0,20.0,17.0,41.0,10.0,147647.0,146295.0,159282.0,168958.0,119165.0,157245.0,252443.0,245307.0,134294.0
 PANAMA C Z ,439.19,325.73,9980.0,219.0,395.0,219.0,42.0,107.0,24315.0,27038.0,34697.0,39583.0,564800.0,669218.0,68954.0,58030.0,354659.0
 PANAMA REPUBLIC ,55942.32,37074.82,18899.0,111536.0,123266.0,128531.0,185097.0,131864.0,83880.0,108613.0,111902.0,89948.0,1079060.0,1571064.0,125830.0,175653.0,175653.0
 PAPUA N GNA ,8950.52,8357.45,189980.0,17007.0,16221.0,26826.0,31856.0,25721.0,466829.0,490373.0,504025.0,540859.0,87.0,347842.0,695597.0,761664.0,346946.0
 PARAGUAY ,17636.87,17519.71,400462.0,32299.0,45108.0,53946.0,65380.0,64314.0,993278.0,1091041.0,1218941.0,1081522.0,1221247.0,2030564.0,1680070.0,1736520.0,162802.0
 PERU ,139324.62,129004.4,121.0,272031.0,347158.0,376605.0,502214.0,459578.0,35.0,4.0,9.0,17.0,622313.0,887461.0,0.0,1.0,15679.0
 PHILIPPINES ,337935.11,354650.05,302942.0,476322.0,646549.0,861018.0,853140.0,887191.0,803030.0,993439.0,1100446.0,1096714.0,115422.0,207758.0,1862285.0,2016668.0,235747.0
 PITCAIRN IS. ,12.57,119757.785,239503.0,27.0,4.0,36.0,642000.0,671842.0,448955.0,481760.0,519455.0,528350.0,950405.0,1370326.0,808834.0,980219.0,7458.0
 POLAND ,234698.64,199041.83,29497.0,376889.0,441237.0,604016.0,388730.0,386608.0,70891.0,50304.0,97078.0,96521.0,32509.0,43731.0,213853.0,116240.0,137182.0
 PORTUGAL ,199195.84,176883.87,170914.0,250162.0,287387.0,380860.0,60755.0,75548.0,526164.0,948772.0,1124422.0,899530.0,274662.0,441558.0,1580100.0,1407973.0,693195.0
 PUERTO RICO ,30438.24,41607.61,17398.0,49572.0,57991.0,55048.0,644294.0,589913.0,27588.0,29899.0,32935.0,28469.0,1964970.0,2423280.0,38017.0,37523.0,16794.0
 QATAR ,307192.44,255943.18,194208.0,394933.0,374634.0,591120.0,29796.0,27947.0,172604.0,257166.0,300784.0,259628.0,99473.0,95365.0,597024.0,1472750.0,1472750.0
 REUNION ,17487.09,16214.99,770614.0,23047.0,26607.0,31794.0,255369.0,167570.0,1298532.0,1362202.0,1672679.0,2139988.0,28.0,11.0,2546270.0,3528804.0,238.0
 ROMANIA ,228655.44,157495.59,14740.0,128461.0,154176.0,173074.0,1282356.0,1040894.0,59033.0,58406.0,101883.0,87822.0,2000.0,1044.0,115460.0,110470.0,172.0
 RUSSIA ,495824.21,463720.99,1.0,854690.0,1249286.0,1282879.0,91274.0,68977.0,2.0,8.0,2.0,2.0,189.0,214.0,24.0,55.0,51.0
 RWANDA ,13672.29,12523.63,694.0,23186.0,42350.0,53083.0,17.0,1.0,1187.0,1548.0,1815.0,2979.0,1448.0,1545.0,981.0,1591.0,1733668.0
 SAHARWI A.DM RP ,27.77,8392.61,476.0,73.0,36.5,0.0,1514.0,1461.0,153.0,89.0,107.0,171.0,4335889.0,6531014.0,373.0,430.0,143098.0
 SAMOA ,317.69,676.76,2129607.0,1048.0,1085.0,2643.0,28.0,173.0,620.0,574.0,827.0,1061.0,515979.0,710870.0,1218.0,1268.0,14512.0
 SAO TOME ,459.77,579.68,95672.0,367.0,183.5,0.0,895.0,609.0,3425390.0,3486798.0,3885424.0,4426686.0,67368.0,67003.0,8627137.0,9574899.0,10483.0
 SAUDI ARAB ,2294014.13,1855230.35,12295.0,2720820.0,488.0,559.0,6802968.0,4171203.0,424647.0,466841.0,446081.0,338825.0,40949.0,33525.0,911453.0,776052.0,48860.0
 SENEGAL ,66069.08,89332.24,24655.0,178242.0,5324443.0,7386394.0,317316.0,366106.0,33563.0,38055.0,50658.0,59371.0,112386.0,133152.0,66415.0,88482.0,2160750.0
 SEYCHELLES ,41355.12,9504.44,4473173.0,16675.0,267322.0,258007.0,25865.0,28298.0,24110.0,27126.0,58633.0,47969.0,6438217.0,8301295.0,52145.0,63089.0,401.0
 SIERRA LEONE ,21858.39,17700.98,27087.0,41642.0,30468.5,19295.0,19871.0,22440.0,62807.0,60220.0,78316.0,81643.0,1.0,69.0,191421.0,221577.0,33982.0
 SINGAPORE ,3775688.18,3594829.7,85230.0,8036300.0,21111.0,30852.0,49268.0,59457.0,6411509.0,6578931.0,8094225.0,6302692.0,115333.0,127544.0,9618496.0,11939242.0,80368.0
 SLOVAK REP ,16430.93,16889.4,518.0,45325.0,100327.0,60137.0,5985398.0,5053132.0,1.0,5.0,30.5,56.0,262527.0,368869.0,9.0,375.0,706.0
 SLOVENIA ,73298.14,91744.36,40621.0,108598.0,7399497.0,7496620.0,83688.0,89900.0,97951.0,98262.0,101963.0,98145.0,1218.0,1380.0,152852.0,159783.0,106770.0
 SOLOMON IS ,408.87,443.5,1788466.0,576.0,58234.0,63120.0,150261.0,173629.0,168650.0,183188.0,219635.0,235877.0,410482.0,555705.0,491401.0,485871.0,1209738.0
 SOMALIA ,30883.97,8282.32,1168260.0,71098.0,149475.0,127661.0,3223.0,1788.0,1543.0,824.0,1789.0,1436.0,2907508.0,4535311.0,2158.0,2476.0,3234.0
 SOUTH AFRICA ,899429.11,975125.38,1595089.0,2272966.0,827.0,1247.0,215736.0,319005.0,337901.0,293486.0,377208.0,414335.0,16938.0,20054.0,761248.0,679001.0,661835.0
 SPAIN ,1138792.36,960376.26,83.0,1436678.0,99176.0,128726.0,3236326.0,2340661.0,2377798.0,2465980.0,2833397.0,2911431.0,2396170.0,3524400.0,6787323.0,7208658.0,595988.0
 SRI LANKA DSR ,1089497.01,1028960.86,336.0,2095146.0,2780338.0,3076995.0,1925068.0,2121295.0,2187.0,2280.0,7359.0,14252.0,2585729.0,4333370.0,26150.0,34542.0,80.0
 ST HELENA ,85.81,4.32,1179.0,22.0,1559233.0,1748990.0,4103801.0,3465990.0,2296439.0,2575284.0,2921728.0,2795371.0,126.0,1870566.5,3741007.0,3967518.0,306.0
 ST KITT N A ,322.13,695.16,25.0,324.0,2168769.0,2764367.0,131.0,106.0,2623277.0,2886971.0,3299621.0,2693454.0,729.0,1943.0,4092267.0,3411734.0,2034.0
 ST LUCIA ,494.83,561.8,165.0,645.0,18.0,18.0,769.0,1448.0,14.0,4.0,11.0,227.0,2510.0,3036.0,42.0,0.0,540.0
 ST PIERRE ,1.31,23.98,222414.0,111378.5,343.0,744.0,1306.0,1761.0,2074.0,1852.0,1667.0,1812.0,466.0,630.0,2119.0,4136.0,18.0
 ST VINCENT ,371.07,170.55,5491.0,299.0,565.0,1387.0,1.0,1451.5,2902.0,2617.0,2782.0,2293.0,1465.0,1478.0,4133.0,6018.0,72843.0
 SUDAN ,221794.09,218200.91,39223.0,340626.0,22.0,19.0,465.0,355.0,181.0,7.0,10.0,378305.5,756601.0,802775.0,955.0,1973.0,4550.0
 SURINAME ,6364.85,7848.8,285791.0,5055.0,190.0,1106.0,539457.0,510964.0,525.0,442.0,513.0,483.0,12658.0,12956.0,2151.0,535.0,535.0
 SWAZILAND ,20585.39,9431.24,313790.0,11158.0,411556.0,521298.0,10771.0,8408.0,4209.0,10.0,1039.0,771.0,18072.0,20021.0,1469248.0,666339.0,9464.0
 SWEDEN ,257963.42,225192.81,223935.0,395278.0,16514.0,14598.0,24595.0,38747.0,502101.0,530259.0,643454.0,779108.0,564562.0,772488.0,9866.0,24186.0,163949.0
 SWITZERLAND ,352525.7,278424.82,1047917.0,527956.0,26057.0,13696.0,452647.0,447552.0,7040.0,11197.0,15734.0,22105.0,934061.0,1005378.0,502733.0,88.0,313246.0
 SYRIA ,166657.08,163875.33,8305.0,256824.0,373527.0,444586.0,653875.0,642129.0,26505.0,21078.0,10539.5,1.0,92168.0,78550.0,11885.0,20513.0,17511.0
 TAIWAN ,668173.16,881271.49,670141.0,1598616.0,607907.0,1073696.0,114530.0,89610.0,475408.0,497237.0,13348.0,13193.0,1200649.0,2055116.0,772059.0,843614.0,250313.0
 TAJIKISTAN ,7630.08,7452.33,1034626.0,10200.0,140587.0,140902.0,1333673.0,932864.0,654302.0,698698.0,553490.0,530067.0,39496.0,26405.0,1081304.0,1263804.0,5399.0
 TANZANIA REP ,472958.89,436964.46,245842.0,769675.0,1655512.0,1206047.0,32807.0,14549.0,81676.0,98852.0,829177.0,850530.0,1064421.0,1722386.0,83554.0,52271.0,605891.0
 THAILAND ,872399.5,822762.26,93210.0,1425353.0,19136.0,32728.0,1513271.0,1080038.0,1466604.0,1389931.0,108092.0,112994.0,3130062.0,4289768.0,2110664.0,1523601.0,633119.0
 TIMOR LESTE ,422.42,577.85,6724.0,3740.0,1173292.0,2090708.0,2120921.0,1955689.0,13708.0,15434.0,1851778.0,1188440.0,18662.0,19425.0,39610.0,42684.0,7849.0
 TOGO ,65620.17,77157.73,324.0,173489.0,2031024.0,2243108.0,1992.0,2235.0,1196656.0,1044000.0,15628.0,16663.0,1139361.0,2248061.0,3157854.0,3826430.0,549493.0
 TOKELAU IS ,15.8,1.35,28690.0,23.0,1174.0,1305.0,420423.0,350359.0,2101242.0,2355130.0,1192460.0,1232747.0,625.0,990.0,4581007.0,4172172.0,20.0
 TONGA ,148.77,227.17,128162.0,374.0,162840.0,272141.0,0.0,775.5,1551.0,2139.0,3110607.0,3045149.0,55332.0,69586.0,28570.0,39714.0,73.0
 TRINIDAD ,143698.43,72771.9,1250982.0,39460.0,17.0,96.0,559.0,726.0,211638.0,263860.0,3686.0,4497.0,195745.0,303415.0,4851039.0,2673622.0,17360.0
 TUNISIA ,96789.44,100692.71,11900.0,136883.0,908.0,640.0,101114.0,60683.0,23.0,243561.5,487100.0,739506.0,2923184.0,6503732.0,1165.0,1315.0,46134.0
 TURKEY ,637029.19,727779.93,24.0,1689401.0,44379.0,63013.0,152611.0,145889.0,806.0,809.0,1.0,1.0,44426.0,77568.0,84135.0,90264.0,947460.0
 TURKMENISTAN ,19145.32,17056.93,56.0,21175.0,162992.0,166032.0,3276052.0,2713560.0,56691.0,57170.0,243.0,467.0,92.0,480.0,339534.0,363778.0,6028.0
 TURKS C IS ,236.38,82.33,15386613.0,84.0,2152438.0,2704238.0,56322.0,44662.0,171247.0,181650.0,58465.0,60230.0,2.0,162.0,7726043.0,5506909.0,75.0
 TUVALU ,2959.92,101.87,3317265.0,7.0,38031.0,44785.0,88.0,106.0,3103080.0,3281480.0,212654.0,173636.0,12333392.0,20915828.0,71970.0,30982.0,6.0
 U ARAB EMTS ,11022907.95,11334791.85,11519450.0,17226847.0,178.0,239.0,20.0,35.0,38663.0,35047.0,3805912.0,3522495.0,6024490.0,7799211.0,1417.0,915.0,4785800.0
 U K ,3034457.97,2947631.02,133160.0,4114023.0,3.0,38.0,20185269.0,19830623.0,527.0,737.0,32045.0,23964.0,38184453.0,56796119.0,201.0,88.0,2248142.0
 U S A ,9645841.97,9241651.34,233329.0,16645542.0,19783205.0,18477865.0,5696907.0,5776986.0,55.0,40.0,183.0,451.0,496814.0,519917.0,25385238.0,29509524.0,11813979.0
 UGANDA ,100749.23,98077.16,10732.0,209471.0,4687822.0,5921916.0,25942752.0,26386049.0,20893949.0,18145693.0,1.0,1.0,333835.0,351751.0,9171501.0,10696407.0,64547.0
 UKRAINE ,180771.03,136124.32,6561989.0,236234.0,19674080.0,23658980.0,338989.0,373117.0,5718182.0,6243140.0,21021093.0,20423782.0,543338.0,970701.0,63015151.0,64176635.0,19226.0
 UNION OF SERBIA & MONTENEGRO ,6382.94,6057.16,38835.0,19784.0,253217.0,321688.0,212821.0,169664.0,28300801.0,30860269.0,6510480.0,6188224.0,77429.0,112322.0,449547.0,420533.0,496650.0
 UNSPECIFIED ,2031903.63,1961967.89,27464.0,7693573.0,283141.0,293117.0,4070.0,879.0,331546.0,343072.0,36648039.0,37616554.0,715.0,246.0,106502.0,143466.0,19883.0
 URUGUAY ,29728.79,22875.58,1131.0,67550.0,38695.0,18213.0,2529719.0,1621407.0,208006.0,212814.0,405783.0,440613.0,207191.0,202306.0,2448254.0,2472622.0,52.0
 UZBEKISTAN ,20927.32,25647.28,79917.0,43019.0,2954168.0,6907257.0,127018.0,99590.0,102.0,1.0,273603.0,328622.0,1666.0,2352.0,124483.0,432683.0,66661.0
 VANUATU REP ,2409.86,1074.92,1204507.0,1276.0,78081.0,97548.0,415.0,112.0,1655458.0,1566195.0,783097.5,0.0,49.0,25.0,92.0,249.0,414.0
 VENEZUELA ,84764.7,86921.27,602.0,120391.0,67965.0,69241.0,104192.0,61839.0,126265.0,102773.0,2032944.0,1802083.0,412490.0,248400.0,227924.0,308590.0,308590.0
 VIETNAM SOC REP ,794947.72,867397.61,34.0,1808498.0,1869.0,1686.0,1137.0,1316.0,723.0,337.0,126814.0,104143.0,3703486.0,4993741.0,2717.0,3242.0,28888.0
 VIRGIN IS US ,621.12,2038.21,235168.0,1874.0,127721.0,119554.0,74.0,34.0,72853.0,85599.0,461.0,280.0,55933.0,3195.0,128.0,75.0,725245.0
 WALLIS F IS ,70.51,74.5,53905.0,100.0,2156284.0,3325325.0,158004.0,85175.0,1394.0,1464.0,141656.0,127577.0,17.0,4.0,142370.0,145125.0,331.0
 YEMEN REPUBLC ,353281.31,345017.76,51406.0,350393.0,777.0,2419.0,3831864.0,3458935.0,27.0,74.0,1386.0,1711.0,582440.0,632919.0,4754343.0,4528848.0,106452.0
 ZAMBIA ,49058.39,41821.23,71691.115,101561.0,11.0,0.0,2963.0,2781.0,41615.0,51053.0,20.0,23.0,198741.0,253957.0,6147.0,4831.0,33392.0
 ZIMBABWE ,27617.27,22902.89,42421.445,61940.0,802402.0,788634.0,21.0,2275445.0,4550869.0,5038838.0,115405.0,243944.0,130499.0,149392.0,1.0,6647.0,13293.0
